City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
142,Saryg-Sep,51.5,95.6,21.33,broken clouds,72,51,2.75,RU
143,Yerbogachen,61.2767,108.0108,18.19,overcast clouds,76,95,4.9,RU
144,Marystown,47.1666,-55.1483,50.86,scattered clouds,100,31,3.0,CA
145,Oranjemund,-28.55,16.4333,59.47,few clouds,79,24,8.03,NA
146,Vyazemskiy,47.5378,134.7525,48.27,light rain,76,77,6.73,RU
147,Georgetown,5.4112,100.3354,80.53,few clouds,82,20,0.0,MY
148,Sinzheim,48.7637,8.1666,45.84,broken clouds,91,75,2.3,DE
149,Dawlatabad,36.4141,64.9053,51.57,few clouds,26,11,2.21,AF
150,Vredendal,-31.6683,18.5012,62.02,overcast clouds,70,100,14.81,ZA
151,Dabat,12.9842,37.765,52.02,light rain,86,99,2.82,ET
152,Yerkoy,39.6381,34.4672,56.61,broken clouds,47,73,2.39,TR
153,Touros,-5.1989,-35.4608,81.5,broken clouds,77,61,12.86,BR
154,Bilibino,68.0546,166.4372,0.88,broken clouds,99,62,3.89,RU
155,Papetoai,-17.4961,-149.8729,83.79,overcast clouds,75,100,14.47,PF
156,Mount Isa,-20.7333,139.5,71.37,broken clouds,37,75,5.75,AU
157,Perehonivka,48.5355,30.5192,46.56,overcast clouds,80,100,13.38,UA
158,Mahebourg,-20.4081,57.7,70.25,few clouds,94,20,3.44,MU
159,Quatre Cocos,-20.2078,57.7625,70.09,scattered clouds,80,33,9.35,MU
160,Clyde River,70.4692,-68.5914,31.41,overcast clouds,91,99,3.83,CA
161,Ust-Ishim,57.6935,71.1665,43.34,overcast clouds,94,89,3.15,RU
162,Cilegon,-6.0174,106.0538,78.69,overcast clouds,79,100,2.1,ID
163,Sulangan,11.1373,123.7228,82.9,overcast clouds,75,100,3.62,PH
164,Deputatskiy,69.3,139.9,14.02,overcast clouds,96,100,3.4,RU
165,Bilma,18.6853,12.9164,82.4,broken clouds,18,64,11.52,NE
166,Namatanai,-3.6667,152.4333,84.49,overcast clouds,69,100,7.31,PG
167,Utiel,39.5667,-1.2,60.89,few clouds,92,11,4.32,ES
168,Umm Lajj,25.0213,37.2685,88.12,clear sky,35,0,4.9,SA
169,Eufaula,31.8913,-85.1455,84.63,clear sky,60,1,4.61,US
170,Aljezur,37.3191,-8.8033,65.5,scattered clouds,72,44,5.3,PT
171,Glyadyanskoye,54.9075,65.0883,43.7,clear sky,81,6,3.22,RU
172,Santa Isabel,-23.3156,-46.2214,70.9,overcast clouds,89,95,3.58,BR
173,Warri,5.5167,5.75,75.52,overcast clouds,95,100,3.18,NG
174,Lewisporte,49.2499,-55.0482,43.56,few clouds,89,11,6.42,CA
175,Mount Gambier,-37.8333,140.7667,42.71,scattered clouds,100,40,0.0,AU
176,Victoria,22.2855,114.1577,81.25,broken clouds,94,57,3.0,HK
177,Svetlyy,54.675,20.1347,41.05,scattered clouds,69,49,8.19,RU
178,Rundu,-17.9333,19.7667,69.03,clear sky,20,0,5.19,NA
179,Matara,5.9485,80.5353,78.26,overcast clouds,88,85,10.51,LK
180,Sabang,5.8933,95.3214,81.81,light rain,79,99,25.39,ID
181,Klaksvik,62.2266,-6.589,52.72,overcast clouds,92,100,31.92,FO
182,Talnakh,69.4865,88.3972,18.77,overcast clouds,92,100,15.5,RU
183,Ixtapa,20.7,-105.2,88.23,light rain,66,75,12.66,MX
184,Bamberg,49.8795,10.8863,44.94,overcast clouds,99,99,3.56,DE
185,Aswan,24.0934,32.907,89.83,broken clouds,24,77,9.86,EG
186,Kahului,20.8947,-156.47,87.06,scattered clouds,64,40,27.63,US
187,Vila Velha,-20.3297,-40.2925,73.35,broken clouds,88,75,6.91,BR
188,Fez,34.0372,-4.9998,68.25,clear sky,68,0,6.91,MA
189,Kayes,14.0,-11.0,80.62,overcast clouds,58,100,12.35,ML
190,Mahibadhoo,3.7833,72.9667,82.53,broken clouds,78,83,20.87,MV
191,Kavaratti,10.5669,72.642,82.17,overcast clouds,81,100,21.12,IN
192,Nosy Varika,-20.5833,48.5333,69.19,scattered clouds,89,29,4.54,MG
193,Khatanga,71.9667,102.5,4.46,overcast clouds,98,99,6.46,RU
194,Taseyevo,57.2169,94.8978,22.17,few clouds,75,11,3.33,RU
195,Salekhard,66.53,66.6019,35.19,overcast clouds,84,100,7.54,RU
