City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
183,Ixtapa,MX,88.23,light rain,20.7,-105.2,Hotel Plaza Providencia
185,Aswan,EG,89.83,broken clouds,24.0934,32.907,Nuba Nile
186,Kahului,US,87.06,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
187,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
188,Fez,MA,68.25,clear sky,34.0372,-4.9998,Hotel Mounia Fès
190,Mahibadhoo,MV,82.53,broken clouds,3.7833,72.9667,Omadhoo Inn
191,Kavaratti,IN,82.17,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
192,Nosy Varika,MG,69.19,scattered clouds,-20.5833,48.5333,Hotel Volazara
196,Kavieng,PG,85.33,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
199,Traverse City,US,68.07,broken clouds,44.7631,-85.6206,Bayshore Resort
200,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
201,Faanui,PF,78.98,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
202,Kisangani,CD,69.53,broken clouds,0.5167,25.2,Grand Ramela Hotel
204,Kushima,JP,72.91,few clouds,31.4583,131.2333,Hanaoka
205,San Remo,IT,63.32,few clouds,43.8182,7.7612,Royal Hotel Sanremo
207,Santa Maria,BR,79.9,light rain,-29.6842,-53.8069,Hotel Morotin
208,Bandarbeyla,SO,77.79,overcast clouds,9.4942,50.8122,JABIR HOTEL
212,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
213,Ishigaki,JP,80.73,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
215,Bosaso,SO,82.24,scattered clouds,11.2842,49.1816,Red Sea Hotel
218,Auki,SB,84.83,scattered clouds,-8.7676,160.7034,Auki Motel
221,Manicore,BR,82.99,broken clouds,-5.8092,-61.3003,Hotel Durval
222,Marovoay,MG,77.14,overcast clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
225,Karratha,AU,73.06,clear sky,-20.7377,116.8463,ibis Styles Karratha
226,Garissa,KE,75.88,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
227,Puerto Ayacucho,VE,81.9,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
229,Muros,ES,65.84,clear sky,42.7762,-9.0603,Apartment Av. Castelao
231,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
232,Campestre,BR,64.85,broken clouds,-21.7111,-46.2464,O Precinho
233,Hirara,JP,82.22,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
234,Nortelandia,BR,89.51,broken clouds,-14.4547,-56.8028,Hotel Karysmã
235,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Punto de encuentro
236,Salinas,US,70.41,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
240,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
241,Cove,BJ,75.49,scattered clouds,7.221,2.3402,TG Hôtel
243,Cozumel,MX,88.0,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
245,Koumac,NC,75.96,few clouds,-20.5667,164.2833,Le Monitel
250,Praia Da Vitoria,PT,68.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
253,Salta,AR,81.19,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
255,Jalpaiguri,IN,74.25,scattered clouds,26.5167,88.7333,"CAMELOT, JALPAIGURI"
